Trump,Clinton,end_date
41,45,2016-11-07
43,41,2016-11-07
42,43,2016-11-07
41,45,2016-11-07
45,49,2016-11-07
40,45,2016-11-06
43,46,2016-11-06
41,44,2016-11-06
43,47,2016-11-06
46,49,2016-11-06
44,50,2016-11-06
44,50,2016-11-06
44,48,2016-11-06
44,48,2016-11-06
43,41,2016-11-06
42,43,2016-11-06
39,44,2016-11-06
39,42,2016-11-06
43,45,2016-11-06
43,47,2016-11-06
41,45,2016-11-06
46,49,2016-11-06
44,51,2016-11-06
41,47,2016-11-06
42,45,2016-11-05
40,45,2016-11-05
40,44,2016-11-05
43,48,2016-11-05
43,47,2016-11-05
45,49,2016-11-05
44,43,2016-11-05
44,45,2016-11-05
44,48,2016-11-05
46,49,2016-11-05
39,45,2016-11-04
44,48,2016-11-04
43,48,2016-11-04
44,49,2016-11-04
44,44,2016-11-04
43,46,2016-11-04
40,44,2016-11-04
39,43,2016-11-04
48,49,2016-11-04
44,46,2016-11-03
43,44,2016-11-03
43,45,2016-11-03
45,46,2016-11-03
39,44,2016-11-03
44,44,2016-11-03
43,47,2016-11-03
45,49,2016-11-03
39,44,2016-11-03
37,44,2016-11-03
44,44,2016-11-03
44,45,2016-11-03
48,49,2016-11-03
39,44,2016-11-02
45,42,2016-11-02
44,47,2016-11-02
46,49,2016-11-02
39,45,2016-11-02
37,45,2016-11-02
44,44,2016-11-02
44,44,2016-11-02
48,49,2016-11-02
40,43,2016-11-01
43,46,2016-11-01
45,48,2016-11-01
44,44,2016-11-01
45,47,2016-11-01
47,49,2016-11-01
44,47,2016-11-01
42,45,2016-11-01
44,44,2016-11-01
44,44,2016-11-01
48,49,2016-11-01
40,42,2016-10-31
46,46,2016-10-31
47,48,2016-10-31
44,44,2016-10-31
44,45,2016-10-31
44,45,2016-10-31
48,48,2016-10-31
43,46,2016-10-30
39,42,2016-10-30
41,42,2016-10-30
47,52,2016-10-30
48,51,2016-10-30
46,45,2016-10-30
47,48,2016-10-30
42,45,2016-10-30
44,45,2016-10-30
43,45,2016-10-30
48,49,2016-10-30
44,51,2016-10-30
41,47,2016-10-30
41,42,2016-10-29
45,46,2016-10-29
47,49,2016-10-29
42,44,2016-10-29
41,45,2016-10-29
48,48,2016-10-29
40,43,2016-10-28
45,46,2016-10-28
46,49,2016-10-28
41,45,2016-10-28
41,46,2016-10-28
47,49,2016-10-28
40,43,2016-10-27
45,45,2016-10-27
45,47,2016-10-27
46,49,2016-10-27
41,44,2016-10-27
42,45,2016-10-27
47,49,2016-10-27
39,43,2016-10-26
44,45,2016-10-26
44,48,2016-10-26
45,50,2016-10-26
34,45,2016-10-26
32,43,2016-10-26
41,46,2016-10-26
46,49,2016-10-26
41,43,2016-10-26
42,44,2016-10-26
47,49,2016-10-26
39,43,2016-10-25
43,44,2016-10-25
42,48,2016-10-25
44,51,2016-10-25
41,44,2016-10-25
44,49,2016-10-25
41,42,2016-10-25
41,43,2016-10-25
47,49,2016-10-25
38,44,2016-10-24
34,43,2016-10-24
37,47,2016-10-24
40,49,2016-10-24
43,51,2016-10-24
38,50,2016-10-24
41,53,2016-10-24
37,51,2016-10-24
41,54,2016-10-24
39,49,2016-10-24
38,47,2016-10-24
37,43,2016-10-24
38,42,2016-10-24
42,43,2016-10-24
41,42,2016-10-24
42,43,2016-10-24
47,49,2016-10-24
38,43,2016-10-23
38,50,2016-10-23
41,53,2016-10-23
44,49,2016-10-23
45,51,2016-10-23
43,41,2016-10-23
40,45,2016-10-23
41,41,2016-10-23
42,42,2016-10-23
44,50,2016-10-23
41,46,2016-10-23
46,50,2016-10-23
37,43,2016-10-22
38,50,2016-10-22
41,53,2016-10-22
43,41,2016-10-22
43,42,2016-10-22
46,50,2016-10-22
40,46,2016-10-21
37,43,2016-10-21
43,41,2016-10-21
42,40,2016-10-21
