Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
41	45	4	2	8	insights-west-26812	Insights West	2016-11-04	2016-11-07	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	940	3.2	Internet	Nonpartisan	None
6	89	1	0	4	insights-west-26812	Insights West	2016-11-04	2016-11-07	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters - Democrat			Internet	Nonpartisan	None
82	7	3	2	6	insights-west-26812	Insights West	2016-11-04	2016-11-07	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters - Republican			Internet	Nonpartisan	None
38	43	8	4	7	insights-west-26812	Insights West	2016-11-04	2016-11-07	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters - independent			Internet	Nonpartisan	None
43	41	7	4	5	ibd-tipp-26811	IBD/TIPP	2016-11-04	2016-11-07		Likely Voters	1107	3.1	Live Phone	Nonpartisan	None
42	43		5	9	ibd-tipp-26811	IBD/TIPP	2016-11-04	2016-11-07		Likely Voters	1107	3.1	Live Phone	Nonpartisan	None
41	45	5	5	4	yougov-economist-26805	YouGov/Economist	2016-11-04	2016-11-07		Likely Voters	3669		Internet	Nonpartisan	None
6	90	1	2	2	yougov-economist-26805	YouGov/Economist	2016-11-04	2016-11-07		Likely Voters - Democrat	1392		Internet	Nonpartisan	None
84	4	4	4	4	yougov-economist-26805	YouGov/Economist	2016-11-04	2016-11-07		Likely Voters - Republican	1110		Internet	Nonpartisan	None
44	31	9	9	8	yougov-economist-26805	YouGov/Economist	2016-11-04	2016-11-07		Likely Voters - independent	1167		Internet	Nonpartisan	None
45	49		7		yougov-economist-26805	YouGov/Economist	2016-11-04	2016-11-07		Likely Voters	3669		Internet	Nonpartisan	None
6	91		2		yougov-economist-26805	YouGov/Economist	2016-11-04	2016-11-07		Likely Voters - Democrat	1392		Internet	Nonpartisan	None
88	6		5		yougov-economist-26805	YouGov/Economist	2016-11-04	2016-11-07		Likely Voters - Republican	1110		Internet	Nonpartisan	None
49	38		13		yougov-economist-26805	YouGov/Economist	2016-11-04	2016-11-07		Likely Voters - independent	1167		Internet	Nonpartisan	None
40	45	5	2	7	lucid-the-times-picayune-26788	Lucid/The Times-Picayune	2016-11-04	2016-11-06		Likely Voters	931		Internet	Nonpartisan	None
43	46		5	6	bloomberg-selzer-26771	Bloomberg/Selzer	2016-11-04	2016-11-06	If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?	Likely Voters	799	3.5	Live Phone	Nonpartisan	None
6	86		3	5	bloomberg-selzer-26771	Bloomberg/Selzer	2016-11-04	2016-11-06	If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?	Likely Voters - Democrat			Live Phone	Nonpartisan	None
85	5		6	4	bloomberg-selzer-26771	Bloomberg/Selzer	2016-11-04	2016-11-06	If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?	Likely Voters - Republican			Live Phone	Nonpartisan	None
44	38		10	8	bloomberg-selzer-26771	Bloomberg/Selzer	2016-11-04	2016-11-06	If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?	Likely Voters - independent			Live Phone	Nonpartisan	None
41	44	4	2	8	bloomberg-selzer-26771	Bloomberg/Selzer	2016-11-04	2016-11-06	If the general election were held today, and the candidates were Hillary Clinton for the Democrats, Donald Trump for the Republicans, Gary Johnson for the Libertarian Party, and Jill Stein for the Green Party, for whom would you vote?	Likely Voters	799	3.5	Live Phone	Nonpartisan	None
43	47	4	4	1	abc-post-26799	ABC/Post	2016-11-03	2016-11-06		Likely Voters	2220	2.5	Live Phone	Nonpartisan	None
46	49		3	2	abc-post-26799	ABC/Post	2016-11-03	2016-11-06		Likely Voters	2220	2.5	Live Phone	Nonpartisan	None
44	50	4	3	1	monmouth-university-26790	Monmouth University	2016-11-03	2016-11-06	If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the Libertarian, or Jill Stein of the Green Party?	Likely Voters	748	3.6	Live Phone	Nonpartisan	None
44	50		5	1	monmouth-university-26790	Monmouth University	2016-11-03	2016-11-06		Likely Voters	748	3.6	Live Phone	Nonpartisan	None
