Trump,Clinton,end_date,,Johnson,Other,Undecided,survey_house,start_date,end_date
41,45,2016-11-07,,4,2,8,Insights West,2016-11-04,2016-11-07
43,41,2016-11-07,,7,4,5,IBD/TIPP,2016-11-04,2016-11-07
42,43,2016-11-07,,,5,9,IBD/TIPP,2016-11-04,2016-11-07
41,45,2016-11-07,,5,5,4,YouGov/Economist,2016-11-04,2016-11-07
45,49,2016-11-07,,,7,,YouGov/Economist,2016-11-04,2016-11-07
40,45,2016-11-06,,5,2,7,Lucid/The Times-Picayune,2016-11-04,2016-11-06
43,46,2016-11-06,,,5,6,Bloomberg/Selzer,2016-11-04,2016-11-06
41,44,2016-11-06,,4,2,8,Bloomberg/Selzer,2016-11-04,2016-11-06
43,47,2016-11-06,,4,4,1,ABC/Post,2016-11-03,2016-11-06
46,49,2016-11-06,,,3,2,ABC/Post,2016-11-03,2016-11-06
44,50,2016-11-06,,4,3,1,Monmouth University,2016-11-03,2016-11-06
44,50,2016-11-06,,,5,1,Monmouth University,2016-11-03,2016-11-06
44,48,2016-11-06,,3,4,1,FOX,2016-11-03,2016-11-06
44,48,2016-11-06,,,2,7,FOX,2016-11-03,2016-11-06
43,41,2016-11-06,,6,4,5,IBD/TIPP,2016-11-03,2016-11-06
42,43,2016-11-06,,,5,9,IBD/TIPP,2016-11-03,2016-11-06
39,44,2016-11-06,,,9,8,Ipsos/Reuters,2016-11-02,2016-11-06
39,42,2016-11-06,,6,6,7,Ipsos/Reuters,2016-11-02,2016-11-06
43,45,2016-11-06,,4,5,4,Rasmussen,2016-11-02,2016-11-06
43,47,2016-11-06,,,5,5,CBS/Times,2016-11-02,2016-11-06
41,45,2016-11-06,,5,4,5,CBS/Times,2016-11-02,2016-11-06
46,49,2016-11-06,,,5,,UPI/CVOTER,2016-10-31,2016-11-06
44,51,2016-11-06,,,,5,NBC/SurveyMonkey,2016-10-31,2016-11-06
41,47,2016-11-06,,6,3,2,NBC/SurveyMonkey,2016-10-31,2016-11-06
42,45,2016-11-05,,8,4,0,Politico/Morning Consult,2016-11-04,2016-11-05
40,45,2016-11-05,,5,2,8,Lucid/The Times-Picayune,2016-11-03,2016-11-05
40,44,2016-11-05,,6,5,5,NBC/WSJ,2016-11-03,2016-11-05
43,48,2016-11-05,,,3,6,NBC/WSJ,2016-11-03,2016-11-05
43,47,2016-11-05,,4,4,2,ABC/Post,2016-11-02,2016-11-05
45,49,2016-11-05,,,4,2,ABC/Post,2016-11-02,2016-11-05
44,43,2016-11-05,,5,4,4,IBD/TIPP,2016-11-02,2016-11-05
44,45,2016-11-05,,,4,7,IBD/TIPP,2016-11-02,2016-11-05
44,48,2016-11-05,,4,3,1,Franklin Pierce/RKM/Boston Herald,2016-11-01,2016-11-05
46,49,2016-11-05,,,5,,UPI/CVOTER,2016-10-30,2016-11-05
39,45,2016-11-04,,5,2,8,Lucid/The Times-Picayune,2016-11-02,2016-11-04
44,48,2016-11-04,,6,2,,Angus Reid/MARU-Matchbox,2016-11-01,2016-11-04
43,48,2016-11-04,,4,4,2,ABC/Post,2016-11-01,2016-11-04
44,49,2016-11-04,,,4,2,ABC/Post,2016-11-01,2016-11-04
44,44,2016-11-04,,5,4,4,IBD/TIPP,2016-11-01,2016-11-04
43,46,2016-11-04,,,4,7,IBD/TIPP,2016-11-01,2016-11-04
40,44,2016-11-04,,,7,10,Ipsos/Reuters,2016-10-31,2016-11-04
39,43,2016-11-04,,6,4,7,Ipsos/Reuters,2016-10-31,2016-11-04
48,49,2016-11-04,,,3,,UPI/CVOTER,2016-10-29,2016-11-04
44,46,2016-11-03,,,8,2,McClatchy/Marist,2016-11-01,2016-11-03
43,44,2016-11-03,,6,5,2,McClatchy/Marist,2016-11-01,2016-11-03
43,45,2016-11-03,,5,4,4,FOX,2016-11-01,2016-11-03
45,46,2016-11-03,,,1,6,FOX,2016-11-01,2016-11-03
39,44,2016-11-03,,6,2,10,Lucid/The Times-Picayune,2016-11-01,2016-11-03
44,44,2016-11-03,,4,4,4,Rasmussen,2016-11-01,2016-11-03
43,47,2016-11-03,,4,4,2,ABC/Post,2016-10-31,2016-11-03
45,49,2016-11-03,,,3,2,ABC/Post,2016-10-31,2016-11-03
39,44,2016-11-03,,,7,10,Ipsos/Reuters,2016-10-30,2016-11-03
37,44,2016-11-03,,6,4,8,Ipsos/Reuters,2016-10-30,2016-11-03
44,44,2016-11-03,,4,4,5,IBD/TIPP,2016-10-30,2016-11-03
44,45,2016-11-03,,,4,7,IBD/TIPP,2016-10-30,2016-11-03
48,49,2016-11-03,,,3,,UPI/CVOTER,2016-10-28,2016-11-03
39,44,2016-11-02,,6,2,9,Lucid/The Times-Picayune,2016-10-31,2016-11-02
45,42,2016-11-02,,4,3,4,Rasmussen,2016-10-31,2016-11-02
44,47,2016-11-02,,3,4,2,ABC/Post,2016-10-30,2016-11-02
46,49,2016-11-02,,,2,3,ABC/Post,2016-10-30,2016-11-02
39,45,2016-11-02,,,7,8,Ipsos/Reuters,2016-10-29,2016-11-02
37,45,2016-11-02,,5,4,8,Ipsos/Reuters,2016-10-29,2016-11-02
44,44,2016-11-02,,4,4,4,IBD/TIPP,2016-10-29,2016-11-02
44,44,2016-11-02,,,4,7,IBD/TIPP,2016-10-29,2016-11-02
48,49,2016-11-02,,,3,,UPI/CVOTER,2016-10-27,2016-11-02
40,43,2016-11-01,,6,2,9,Lucid/The Times-Picayune,2016-10-30,2016-11-01
43,46,2016-11-01,,4,4,4,YouGov/Economist,2016-10-30,2016-11-01
45,48,2016-11-01,,,7,,YouGov/Economist,2016-10-30,2016-11-01
44,44,2016-11-01,,5,4,4,Rasmussen,2016-10-30,2016-11-01
45,47,2016-11-01,,3,3,2,ABC/Post,2016-10-29,2016-11-01
47,49,2016-11-01,,,2,3,ABC/Post,2016-10-29,2016-11-01
44,47,2016-11-01,,,5,5,CBS/Times,2016-10-28,2016-11-01
42,45,2016-11-01,,5,5,4,CBS/Times,2016-10-28,2016-11-01
44,44,2016-11-01,,4,4,4,IBD/TIPP,2016-10-28,2016-11-01
44,44,2016-11-01,,,5,7,IBD/TIPP,2016-10-28,2016-11-01
48,49,2016-11-01,,,3,,UPI/CVOTER,2016-10-26,2016-11-01
40,42,2016-10-31,,5,2,10,Lucid/The Times-Picayune,2016-10-29,2016-10-31
46,46,2016-10-31,,3,3,2,ABC/Post,2016-10-28,2016-10-31
47,48,2016-10-31,,,2,2,ABC/Post,2016-10-28,2016-10-31
44,44,2016-10-31,,5,4,4,Rasmussen,2016-10-27,2016-10-31
44,45,2016-10-31,,4,3,4,IBD/TIPP,2016-10-26,2016-10-31
44,45,2016-10-31,,,4,7,IBD/TIPP,2016-10-26,2016-10-31
48,48,2016-10-31,,,3,,UPI/CVOTER,2016-10-25,2016-10-31
43,46,2016-10-30,,,,11,Politico/Morning Consult,2016-10-29,2016-10-30
39,42,2016-10-30,,7,5,6,Politico/Morning Consult,2016-10-29,2016-10-30
41,42,2016-10-30,,5,2,10,Lucid/The Times-Picayune,2016-10-28,2016-10-30
47,52,2016-10-30,,,,1,Politico/Morning Consult,2016-10-27,2016-10-30
48,51,2016-10-30,,,,1,Politico/Morning Consult,2016-10-27,2016-10-30
46,45,2016-10-30,,3,4,2,ABC/Post,2016-10-27,2016-10-30
47,48,2016-10-30,,,2,2,ABC/Post,2016-10-27,2016-10-30
42,45,2016-10-30,,5,4,4,Rasmussen,2016-10-26,2016-10-30
44,45,2016-10-30,,4,4,4,IBD/TIPP,2016-10-25,2016-10-30
43,45,2016-10-30,,,4,7,IBD/TIPP,2016-10-25,2016-10-30
48,49,2016-10-30,,,3,,UPI/CVOTER,2016-10-24,2016-10-30
44,51,2016-10-30,,,,5,NBC/SurveyMonkey,2016-10-24,2016-10-30
41,47,2016-10-30,,6,3,2,NBC/SurveyMonkey,2016-10-24,2016-10-30
41,42,2016-10-29,,5,3,9,Lucid/The Times-Picayune,2016-10-27,2016-10-29
45,46,2016-10-29,,4,4,2,ABC/Post,2016-10-26,2016-10-29
47,49,2016-10-29,,,2,2,ABC/Post,2016-10-26,2016-10-29
