Clinton	Trump	end_date
45	41	2016-11-07
41	43	2016-11-07
43	42	2016-11-07
45	41	2016-11-07
49	45	2016-11-07
45	40	2016-11-06
46	43	2016-11-06
44	41	2016-11-06
47	43	2016-11-06
49	46	2016-11-06
50	44	2016-11-06
50	44	2016-11-06
48	44	2016-11-06
48	44	2016-11-06
41	43	2016-11-06
43	42	2016-11-06
44	39	2016-11-06
42	39	2016-11-06
45	43	2016-11-06
47	43	2016-11-06
45	41	2016-11-06
49	46	2016-11-06
51	44	2016-11-06
47	41	2016-11-06
45	42	2016-11-05
45	40	2016-11-05
44	40	2016-11-05
48	43	2016-11-05
47	43	2016-11-05
49	45	2016-11-05
43	44	2016-11-05
45	44	2016-11-05
48	44	2016-11-05
49	46	2016-11-05
45	39	2016-11-04
48	44	2016-11-04
48	43	2016-11-04
49	44	2016-11-04
44	44	2016-11-04
46	43	2016-11-04
44	40	2016-11-04
43	39	2016-11-04
49	48	2016-11-04
46	44	2016-11-03
44	43	2016-11-03
45	43	2016-11-03
46	45	2016-11-03
44	39	2016-11-03
44	44	2016-11-03
47	43	2016-11-03
49	45	2016-11-03
44	39	2016-11-03
44	37	2016-11-03
44	44	2016-11-03
45	44	2016-11-03
49	48	2016-11-03
44	39	2016-11-02
42	45	2016-11-02
47	44	2016-11-02
49	46	2016-11-02
45	39	2016-11-02
45	37	2016-11-02
44	44	2016-11-02
44	44	2016-11-02
49	48	2016-11-02
43	40	2016-11-01
46	43	2016-11-01
48	45	2016-11-01
44	44	2016-11-01
47	45	2016-11-01
49	47	2016-11-01
47	44	2016-11-01
45	42	2016-11-01
44	44	2016-11-01
44	44	2016-11-01
49	48	2016-11-01
42	40	2016-10-31
46	46	2016-10-31
48	47	2016-10-31
44	44	2016-10-31
45	44	2016-10-31
45	44	2016-10-31
48	48	2016-10-31
46	43	2016-10-30
42	39	2016-10-30
42	41	2016-10-30
52	47	2016-10-30
51	48	2016-10-30
45	46	2016-10-30
48	47	2016-10-30
45	42	2016-10-30
45	44	2016-10-30
45	43	2016-10-30
49	48	2016-10-30
51	44	2016-10-30
47	41	2016-10-30
42	41	2016-10-29
46	45	2016-10-29
49	47	2016-10-29
44	42	2016-10-29
45	41	2016-10-29
48	48	2016-10-29
43	40	2016-10-28
46	45	2016-10-28
49	46	2016-10-28
45	41	2016-10-28
46	41	2016-10-28
49	47	2016-10-28
43	40	2016-10-27
45	45	2016-10-27
47	45	2016-10-27
49	46	2016-10-27
44	41	2016-10-27
45	42	2016-10-27
49	47	2016-10-27
43	39	2016-10-26
45	44	2016-10-26
48	44	2016-10-26
50	45	2016-10-26
45	34	2016-10-26
43	32	2016-10-26
46	41	2016-10-26
49	46	2016-10-26
43	41	2016-10-26
44	42	2016-10-26
49	47	2016-10-26
43	39	2016-10-25
44	43	2016-10-25
48	42	2016-10-25
51	44	2016-10-25
44	41	2016-10-25
49	44	2016-10-25
42	41	2016-10-25
43	41	2016-10-25
49	47	2016-10-25
44	38	2016-10-24
43	34	2016-10-24
47	37	2016-10-24
49	40	2016-10-24
51	43	2016-10-24
50	38	2016-10-24
53	41	2016-10-24
51	37	2016-10-24
54	41	2016-10-24
49	39	2016-10-24
47	38	2016-10-24
43	37	2016-10-24
42	38	2016-10-24
43	42	2016-10-24
42	41	2016-10-24
43	42	2016-10-24
49	47	2016-10-24
43	38	2016-10-23
50	38	2016-10-23
53	41	2016-10-23
49	44	2016-10-23
51	45	2016-10-23
41	43	2016-10-23
45	40	2016-10-23
41	41	2016-10-23
42	42	2016-10-23
