Trump	Clinton	Johnson	Other	Undecided	survey_house	start_date	end_date
41	45	4	2	8	Insights West	2016-11-04	2016-11-07
43	41	7	4	5	IBD/TIPP	2016-11-04	2016-11-07
42	43		5	9	IBD/TIPP	2016-11-04	2016-11-07
41	45	5	5	4	YouGov/Economist	2016-11-04	2016-11-07
45	49		7		YouGov/Economist	2016-11-04	2016-11-07
40	45	5	2	7	Lucid/The Times-Picayune	2016-11-04	2016-11-06
43	46		5	6	Bloomberg/Selzer	2016-11-04	2016-11-06
41	44	4	2	8	Bloomberg/Selzer	2016-11-04	2016-11-06
43	47	4	4	1	ABC/Post	2016-11-03	2016-11-06
46	49		3	2	ABC/Post	2016-11-03	2016-11-06
44	50	4	3	1	Monmouth University	2016-11-03	2016-11-06
44	50		5	1	Monmouth University	2016-11-03	2016-11-06
44	48	3	4	1	FOX	2016-11-03	2016-11-06
44	48		2	7	FOX	2016-11-03	2016-11-06
43	41	6	4	5	IBD/TIPP	2016-11-03	2016-11-06
42	43		5	9	IBD/TIPP	2016-11-03	2016-11-06
39	44		9	8	Ipsos/Reuters	2016-11-02	2016-11-06
39	42	6	6	7	Ipsos/Reuters	2016-11-02	2016-11-06
43	45	4	5	4	Rasmussen	2016-11-02	2016-11-06
43	47		5	5	CBS/Times	2016-11-02	2016-11-06
41	45	5	4	5	CBS/Times	2016-11-02	2016-11-06
46	49		5		UPI/CVOTER	2016-10-31	2016-11-06
44	51			5	NBC/SurveyMonkey	2016-10-31	2016-11-06
41	47	6	3	2	NBC/SurveyMonkey	2016-10-31	2016-11-06
42	45	8	4	0	Politico/Morning Consult	2016-11-04	2016-11-05
40	45	5	2	8	Lucid/The Times-Picayune	2016-11-03	2016-11-05
40	44	6	5	5	NBC/WSJ	2016-11-03	2016-11-05
43	48		3	6	NBC/WSJ	2016-11-03	2016-11-05
43	47	4	4	2	ABC/Post	2016-11-02	2016-11-05
45	49		4	2	ABC/Post	2016-11-02	2016-11-05
44	43	5	4	4	IBD/TIPP	2016-11-02	2016-11-05
44	45		4	7	IBD/TIPP	2016-11-02	2016-11-05
44	48	4	3	1	Franklin Pierce/RKM/Boston Herald	2016-11-01	2016-11-05
46	49		5		UPI/CVOTER	2016-10-30	2016-11-05
39	45	5	2	8	Lucid/The Times-Picayune	2016-11-02	2016-11-04
44	48	6	2		Angus Reid/MARU-Matchbox	2016-11-01	2016-11-04
43	48	4	4	2	ABC/Post	2016-11-01	2016-11-04
44	49		4	2	ABC/Post	2016-11-01	2016-11-04
44	44	5	4	4	IBD/TIPP	2016-11-01	2016-11-04
43	46		4	7	IBD/TIPP	2016-11-01	2016-11-04
40	44		7	10	Ipsos/Reuters	2016-10-31	2016-11-04
39	43	6	4	7	Ipsos/Reuters	2016-10-31	2016-11-04
48	49		3		UPI/CVOTER	2016-10-29	2016-11-04
44	46		8	2	McClatchy/Marist	2016-11-01	2016-11-03
43	44	6	5	2	McClatchy/Marist	2016-11-01	2016-11-03
